Id,Price
725,147124.9254999902
15856,214953.9894325999
5480,233552.6970239992
15664,320413.502600105
14275,145509.45091848253
7633,215928.77676777553
13329,174740.86483694892
5502,229228.14274476466
4220,301593.0159264982
11538,212034.66807867086
15975,277035.17736918316
3310,216757.30884544933
9286,151813.4975217151
11260,191303.5440549664
5214,104021.24456045583
11307,182287.45179410395
13543,411570.53225322976
615,178886.18685699557
3495,219504.3522390199
2321,248955.9466512536
12046,187503.82735202782
16688,138423.72575992488
12694,227652.29647148438
783,169929.64694856948
8968,174046.25453529795
13454,178937.73695293226
12190,222315.87686025866
11160,112789.21418761327
10291,193592.42605236027
891,252038.4222446591
2982,181134.0733019209
3818,286034.679295498
2449,192733.52358831468
8317,165320.18537577277
4922,194256.47924375106
1257,232600.19199835908
9348,208647.33638942082
4176,175042.4328718286
10704,159871.8107255602
6624,121286.73156634686
5428,212886.59784078054
12749,172389.21966315422
8994,166780.81015946306
11513,152891.29637569693
3047,207258.58709925425
9519,196924.87874849857
12309,238522.25479235325
14081,285103.03226701723
8334,242851.5178288071
6343,190613.77458865038
14788,127599.76610859674
15748,332168.6168280942
153,246567.1162900435
14149,172197.47938402026
269,196201.2168052049
5452,136525.69927354224
721,160350.4710979365
5079,326603.81971091003
2831,116513.06866075004
10614,111998.61464896007
10131,338728.30908967997
9996,301931.68991534633
3061,201345.1702189363
11733,325742.47451173
3726,253810.8728049973
10929,218925.4699933424
9011,300985.80606982054
16182,259696.7844592332
4976,180306.72514725968
9897,253853.44849597503
1872,145748.90909556326
9205,274153.9458514485
5403,396523.2760365743
14074,184523.98133388557
6268,153637.11402606338
14232,164354.4038309064
8532,221649.88350335212
7034,348877.1275786842
6553,404942.27240165224
3133,173156.473257493
8596,208982.1699414908
12389,257389.45539046114
14462,177501.04567652865
8860,320690.28269688814
8377,304756.444095102
6367,308385.4465842255
6917,258546.0094461845
4216,207001.65030314212
5806,167156.68194062178
5438,178120.5681772134
6632,209755.93010581852
2650,165105.52304604693
5396,133449.33786068467
4044,150478.72781810327
1345,254840.69124817653
856,177385.58066119463
12791,245837.1420508237
12499,213748.11665023706
12249,127214.25036480516
14641,141136.38436620552
1919,168239.8929362502
7848,194225.29658530626
10749,182706.79944384447
15554,180145.86475476192
15834,195938.80051125315
1355,170157.17241251864
15451,176201.99775758793
12401,210499.33542374824
10290,164868.3015137847
9462,115146.61747844078
3103,258772.54831231709
3420,145057.30088089878
12262,244904.37327727035
5032,147604.3229390681
8949,327426.4183639384
15567,231208.83924528732
16389,166615.02732401842
7809,89112.59386652736
8990,197871.9506503065
16089,270301.60599307826
12743,95770.02710079793
5132,119853.99433518892
1619,275602.5936537991
2428,76808.08389085539
16741,147204.42030799846
13193,207195.9883646666
12588,509232.3718696801
5067,174659.7896568091
14685,123045.0151924531
2292,160319.5276235972
5746,128875.74536334109
12578,157919.93846891986
14834,170395.1261536396
2147,178621.41220901356
8222,127890.0797348961
10419,268287.94745943026
11492,212204.62989796104
3006,209771.77742164914
8761,201757.74129173774
15371,307789.64143801463
16367,160752.2816280513
6317,268551.5567531193
10878,309776.90962345555
3895,151559.39063890825
8041,158706.50190745053
13428,461400.18658471474
14669,149011.36273280514
1006,182786.67276308167
12271,178652.2909545957
3764,337578.28833703225
7675,209143.83283681126
11709,281505.456700907
8629,157869.7128128568
1105,318809.9794062157
6096,189246.70827499672
11727,214301.31169306263
5157,148353.0533127757
3679,149191.28340450456
1755,119108.24023821198
7391,194826.66501505344
7425,101076.54529904762
6882,351645.2158457503
10752,421357.4116129369
7472,206999.95936516317
14320,100387.83769630484
9596,162831.9133239183
5317,217926.93121563134
7378,91159.88809734168
16154,183539.8983514337
3464,209903.36609240208
4197,222043.22865671068
9477,115757.62465922016
12705,201561.4611544548
16426,201586.94718977742
1481,69455.31826608304
